Project Name ,Code,File Name ,Data Date ,Project Type ( Development / Construction),File Type (Baseline/ Update ) ,Date Received 
Mt. Juliet ,TN23676,TN23676 - Mt. Juliet - Golden Bear (land) - TBA-2025.10.01 UP02 ,10/1/2025,Construction ,Update 02,11/6/2025
Mt. Juliet ,TN23676,TN23676 - Mt. Juliet - Golden Bear (land) - TBA-2025.10.31 UP03,10/31/2025,Construction ,Update 03,11/7/2025
Mt. Juliet ,TN23676,TN23676 - Mt. Juliet - Golden Bear (land) - TBA-2025.12.01 UP04,12/1/2025,Construction ,Update 04,12/9/2025
Mt. Juliet ,TN23676,TN23676 - Mt. Juliet - Golden Bear (land) - TBA-2026.01.27 UP05,1/27/2026,Construction ,Update 05,1/27/2026
Mt. Juliet ,TN23676,TN23676 - Mt. Juliet - Golden Bear (land) - TBA-2026.03.02 UP06,3/2/2026,Construction ,Update 06,2/3/2026
Mt. Juliet ,TN23676,TN23676 - Mt. Juliet - Golden Bear (land) - TBA-2026.03.10 UP07,3/10/2026,Construction ,Update 07,3/10/2026
,,,,,,
Anaheim,CA17097,CA17097 - Anaheim - La Palma Phase 2 (exp) - 27261 - 2025.11.07 - BL01,11/7/2025,Construction ,Baseline 01,11/7/2025
Anaheim,CA17097,CA17097 - Anaheim - La Palma Phase 2 (exp) - 27261 - 2025.12.08 - UP01,12/8/2025,Construction ,Update 01,12/12/2025
Anaheim,CA17097,CA17097 - Anaheim - La Palma Phase 2 (exp) - 27261 - 2026.01.08 - UP02,1/8/2026,Construction ,Update 02,1/8/2026
Anaheim,CA17097,CA17097 - Anaheim - La Palma Phase 2 (exp) - 27261 - 2026.03.20 - UP03,3/24/2026,Construction ,Update 03,3/20/2026
,,,,,,
San Diego,CA23660 ,CA23660 - San Diego - Cudahy Pl (land) - 23424 - 2025.04.04 - BL01,4/4/2025,Construction ,Baseline  01,11/7/2025
San Diego,CA23660 ,CA23660 - San Diego - Cudahy Pl (land) - 23424 - 2025.05.27 - UP01,5/27/2025,Construction ,Update 01,11/7/2025
San Diego,CA23660 ,CA23660 - San Diego - Cudahy Pl (land) - 23424 - 2025.12.01 - UP02,12/1/2025,Construction ,Update 02,12/8/2025
,,,,,,
Frisco,,Frisco Master Schedule 2025.11.05 - UP01,11/5/2025,Construction ,Update 01,11/7/2025
Frisco,,Frisco Master Schedule 2025.12.10 - UP02,12/10/2025,Construction ,Update 02,1/6/2026
Frisco,,Frisco Master Schedule 2026.02.03 - UP03,2/3/2026,Construction ,Update 03,2/4/2026
Frisco,,Frisco Master Schedule 2026.02.18 - UP04,2/18/2026,Construction ,Update 04,2/19/2026
Frisco,,Frisco Master Schedule 2026.03.05 - UP05,3/5/2026,Construction ,Update 05,3/4/2026
Frisco,,Frisco Master Schedule 2026.04.02 - UP06,4/2/2026,Construction ,Update 06,4/2/2026
,,,,,,
Mesa,,Mesa - 2025.12.09-BL01,12/9/2025,Construction ,Baseline 01,12/12/2025
Mesa,,Mesa - 2025.12.19-UP01,12/19/2025,Construction ,Update 01,12/12/2025
Mesa,,Mesa -2026.01.12-UP02,1/12/2026,Construction ,Update 02,1/12/2026
,,,,,,
Willis,TX24198,Willis-2026.01.05-BL01,1/5/2026,Construction ,Baseline 01,1/6/2026
Willis,TX24198,Willis-2026.02.05-UP01,2/5/2026,Construction ,Update 01,2/18/2026
Willis,TX24198,Willis-2026.03.05 - UP02,3/5/2026,Construction ,Update 02,3/16/2026
,,,,,,
Anna,TX24185,Anna - 2026.02.16-UP01,1/6/2026,Construction ,Baseline 01,1/6/2026
Anna,TX24185,Anna - 2026.01.06-BL02,2/16/2026,Construction ,Update 01,2/17/2026
,,,,,,
Dallas,,,,,,
,,,,,,
Aventura,,"Aventura, FL -  2026.01.16 BL01",1/16/2026,Construction ,Baseline 01,1/30/2026
Aventura,,"Aventura, FL -  2026.03.17 UP01",3/25/2026,Construction ,Update 01,3/17/2026
,,,,,,
Meridian,ID21066,Meridian - 2026.01.08-BL01,1/8/2026,Construction ,Baseline 01,1/8/2026
Meridian,ID21066,"Meridian, ID - 2026.01.30-UP01",1/30/2026,Construction ,Update 01,2/6/2026
Meridian,ID21066,"Meridian, ID - 2026.03.20 - UP02",3/12/2026,Construction ,Update 02,3/20/2026
Meridian,ID21066,"Meridian, ID - 2026.03.26 - UP03",3/26/2026,Construction ,Update 03,3/26/2026
,,,,,,
Delray Bch,,"Delray, FL - 2026.01.19 BL01",1/19/2026,Construction ,Baseline 01,1/30/2026
Delray Bch,,"Delray, FL -  2026.03.17 UP01",3/25/2026,Construction,Update 01,3/17/2026
,,,,,,
Cocoa,,,,,,
,,,,,,
Ocala,,,,,,
,,,,,,
Glendale,CA24325,CA24325 - Glendale - 701 Western Ave (land) - 2026.01.12 BL01,1/12/2026,Development ,Baseline 01,1/16/2026
Glendale,CA24325,CA24325 - Glendale - 701 Western Ave (land) - 2026.01.28 UP01,1/28/2026,Development ,Update 01,1/28/2026
Glendale,CA24325,CA24325 - Glendale - 701 Western Ave (land) - 2026.03.04 UP02,3/4/2026,Development ,Update 02,3/4/2026
Glendale,CA24325,CA24325 - Glendale - 701 Western Ave (land) - 2026.04.01 UP03,4/1/2026,Development ,Update 03,4/1/2026
,,,,,,
Selma,,Selma - 2025.12.08-BL01,12/8/2025,Construction ,Baseline 01,1/6/2026
Selma,,Selma - 2026.01.31-UP01,1/31/2026,Construction ,Update 01,2/6/2026
Selma,,"Selma, NC - 2026.03.04 - UP02",3/4/2026,Construction ,Update 02,3/4/2026
Selma,,"Selma, NC - 2026.03.04 - UP03",3/27/2026,Construction ,Update 03,3/27/2026
,,,,,,
Canoga Park ,CA2002212,CA200212 - Canoga Park (Phase 2) - 2026.01.21 BL01,1/21/2026,Development ,Baseline 01,1/21/2026
Canoga Park ,CA2002212,CA20012 - Canoga Park (Phase 2) - 2026.03.05 UP01,3/5/2026,Development ,Update 01,3/13/2026
Canoga Park ,CA2002212,CA20012 - Canoga Park (Phase 2) - 2026.03.17 UP02,3/17/2026,Development ,Update 02,3/17/2026
Canoga Park ,CA2002212,CA20012 - Canoga Park (Phase 2) - 2026.04.02 UP03,4/2/2026,Development ,Update 03,4/2/2026
,,,,,,
Davenport,260129,260129 - Davenport - 2026.01.29 - BL01,2/6/2026,Construction ,Baseline,2/8/2026
Davenport,260129,260129 - Davenport - 2026.03.03 - UP01,3/3/2026,Construction ,Update 01,3/3/2026
,,,,,,
"Moutain View, CA",CA16098,"CA16098 - Mountain View, CA - 2026.02.23 - BL01",2/23/2026,Development ,Baseline,2/23/2026
"Moutain View, CA",CA16098,"CA16098 - Mountain View, CA - 2026.03.02 - UP01",2/3/2026,Development ,Update 01,3/3/2026
,,,,,,
Ontario,CA24104,"CA24104 - 932 & 936 E Holt Blvd, Ontario  - 2026.01.30 - BL01",1/30/2026,Development ,Baseline,2/6/2026
Ontario,CA24104,"CA24104 - 932 & 936 E Holt Blvd, Ontario - 2026.03.03 UP01 ",3/3/2026,Development ,Update 01,3/3/2026
,,,,,,
Boggy Creek,FLB230078,"FLB230078 - Boggy Creek, FL - 2026.03.03 BL01",3/3/2026,Development ,Baseline,3/3/2026
,,,,,,
